in s,C1 in V,C2 in V,C4 in V
6.0640E-07,-2.173E-02,2.219E-02,5.010E+00
6.0720E-07,-2.222E-02,1.975E-02,5.068E+00
6.0800E-07,-2.222E-02,2.024E-02,4.990E+00
6.0880E-07,-2.026E-02,2.024E-02,5.029E+00
6.0960E-07,-2.124E-02,2.073E-02,5.029E+00
6.1040E-07,-1.880E-02,1.926E-02,5.068E+00
6.1120E-07,-2.075E-02,1.926E-02,5.010E+00
6.1200E-07,-1.880E-02,1.829E-02,5.068E+00
6.1280E-07,-2.026E-02,1.926E-02,5.029E+00
6.1360E-07,-1.831E-02,1.829E-02,5.029E+00
6.1440E-07,-1.782E-02,1.829E-02,5.010E+00
6.1520E-07,-1.733E-02,1.731E-02,5.068E+00
6.1600E-07,-1.978E-02,1.878E-02,5.049E+00
6.1680E-07,-1.831E-02,1.780E-02,5.068E+00
